"symptom_ID";"symptom";"code_ID";"category"
168;"One or more symptoms of altered voluntary motor or sensory function.";166;"motor"
168;"One or more symptoms of altered voluntary motor or sensory function.";166;"sensory"
170;"The symptom or deficit causes clinically significant distress or impairment in social, occupational, or other important areas of functioning or warrants medical evaluation.";164;"NULL"
170;"The symptom or deficit causes clinically significant distress or impairment in social, occupational, or other important areas of functioning or warrants medical evaluation.";165;"NULL"
170;"The symptom or deficit causes clinically significant distress or impairment in social, occupational, or other important areas of functioning or warrants medical evaluation.";166;"NULL"
171;"Clinical findings provide evidence of incompatibility between the symptom and recognized neurological or medical conditions.";164;"NULL"
171;"Clinical findings provide evidence of incompatibility between the symptom and recognized neurological or medical conditions.";165;"NULL"
171;"Clinical findings provide evidence of incompatibility between the symptom and recognized neurological or medical conditions.";166;"NULL"
177;"Excessive thoughts, feelings, or behaviors related to the somatic symptoms or associated health concerns as manifested by at least one of the following:";176;"behavior"
177;"Excessive thoughts, feelings, or behaviors related to the somatic symptoms or associated health concerns as manifested by at least one of the following:";176;"feeling"
177;"Excessive thoughts, feelings, or behaviors related to the somatic symptoms or associated health concerns as manifested by at least one of the following:";176;"thought"
180;"One or more somatic symptoms that are distressing or result in significant disruption of daily life.";176;"somatic"
182;"Although any one somatic symptom may not be continuously present, the state of being symptomatic is persistent (typically more than 6 months).";176;"somatic"
186;"Illness preoccupation has been present for at least 6 months, but the specific illness that is feared may change over that period of time.";184;"NULL"
187;"There is a high level of anxiety about health, and the individual is easily alarmed about personal health status.";184;"NULL"
188;"Preoccupation with having or acquiring a serious illness.""";184;"thought"
190;"Somatic symptoms are not present or, if present, are only mild in intensity. If another medical condition is present or there is a high risk for developing a medical condition (e.g., strong family history is present), the preoccupation is clearly excessive or disproportionate.";184;"somatic"
191;"The individual performs excessive health-related behaviors (e.g., repeatedly checks his or her body for signs of illness) or exhibits maladaptive avoidance (e.g., avoids doctor appointments and hospitals).";184;"ritual "
194;"Brief illness anxiety disorder: Duration of symptoms is less than 6 months.";192;"feeling"
195;"Brief somatic symptom disorder: Duration of symptoms is less than 6 months.";192;"somatic"
196;"Illness anxiety disorder without excessive health-related behaviors: Criterion D for illness anxiety disorder is not met.";192;"feeling"
197;"Pseudocyesis: A false belief of being pregnant that is associated with objective signs and reported symptoms of pregnancy.";192;"delusion"
201;"Deficits in intellectual functions, such as reasoning, problem solving, planning, abstract thinking, judgment, academic learning, and learning from experience, confirmed by both clinical assessment and individualized, standardized intelligence testing.";200;"cogdev"
201;"Deficits in intellectual functions, such as reasoning, problem solving, planning, abstract thinking, judgment, academic learning, and learning from experience, confirmed by both clinical assessment and individualized, standardized intelligence testing.";205;"cogdev"
201;"Deficits in intellectual functions, such as reasoning, problem solving, planning, abstract thinking, judgment, academic learning, and learning from experience, confirmed by both clinical assessment and individualized, standardized intelligence testing.";207;"cogdev"
201;"Deficits in intellectual functions, such as reasoning, problem solving, planning, abstract thinking, judgment, academic learning, and learning from experience, confirmed by both clinical assessment and individualized, standardized intelligence testing.";209;"cogdev"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";200;"adl"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";200;"cogdev"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";205;"adl"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";205;"cogdev"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";207;"adl"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";207;"cogdev"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";209;"adl"
203;"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community.";209;"cogdev"
204;"Onset of intellectual and adaptive deficits during the developmental period.";200;"cogdev"
204;"Onset of intellectual and adaptive deficits during the developmental period.";205;"cogdev"
204;"Onset of intellectual and adaptive deficits during the developmental period.";207;"cogdev"
204;"Onset of intellectual and adaptive deficits during the developmental period.";209;"cogdev"
211;"For preschool children,there may be no obvious conceptual differences.";202;"cogdev"
211;"For preschool children,there may be no obvious conceptual differences.";200;"cogdev"
212;"For school-age children and adults,there are difficulties in learning academic skills involving reading, writing, arithmetic, time, or money, with support needed in one or more areas to meet age-related expectations.";200;"cogdev"
213;"In adults, abstract thinking, executive function (i.e., planning, strategizing, priority setting, and cognitive flexibility), and short-term memory, as well as functional use of academic skills (e.g., reading, money management), are impaired.";200;"cogdev"
214;"Compared with typically developing age-mates, the individual is immature in social interactions. For example, there may be difficulty in accurately perceiving peers social cues.";200;"attachment"
215;"Communication, conversation, and language are more concrete or immature than expected for age. ";200;"cogdev"
216;"There may be difficulties regulating emotion and behavior in age-appropriate fashion; these difficulties are noticed by peers in social situations.";200;"cogdev"
217;"There is limited understanding of risk in social situations; social judgment is immature for age, and the person is at risk of being manipulated by others (gullibility).";200;"NULL"
218;"The individual may function age-appropriately in personal care.";200;"adl"
219;"Individuals need some support with complex daily living tasks in comparison to peers.";200;"adl"
220;"In adulthood, supports typically involve grocery shopping, transportation, home and child-care organizing, nutritious food preparation, and banking and money management.";200;"adl"
221;"Recreational skills resemble those of age-mates, although judgment related to well-being and organization around recreation requires support.";200;"cogdev"
222;"In adulthood, competitive employment is often seen in jobs that do not emphasize conceptual skills.";200;"cogdev"
223;"Individuals generally need support to make health care decisions and legal decisions, and to learn to perform a skilled vocation competently.";200;"adl"
224;"Support is typically needed to raise a family.";200;"adl"
225;"There is a somewhat concrete approach to problems and solutions compared with age-mates";200;"cogdev"
300;"Spoken language is typically a primary tool for social communication but is much less complex than that of peers.";205;"cogdev"
301;"Social judgment and decision-making abilities are limited, and caretakers must assist the person with life decisions.";205;"adl"
301;"Social judgment and decision-making abilities are limited, and caretakers must assist the person with life decisions.";205;"judgment"
302;"Maladaptive behavior is present in a significant minority and causes social problems.";205;"attachment"
302;"Maladaptive behavior is present in a significant minority and causes social problems.";205;"behavior"
303;"The individual shows marked differences from peers in social and communicative behavior across development.";205;"attachment"
303;"The individual shows marked differences from peers in social and communicative behavior across development.";205;"behavior"
304;"Friendships with typically developing peers are often affected by communication or social limitations.";205;"attachment"
304;"Friendships with typically developing peers are often affected by communication or social limitations.";205;"communication"
305;"A variety of recreational skills can be developed. These typically require additional supports and learning opportunities over an extended period of time.";205;"behavior"
305;"A variety of recreational skills can be developed. These typically require additional supports and learning opportunities over an extended period of time.";205;"feeling"
306;"Significant social and communicative support is needed in work settings for success.";205;"adl"
307;"The individual can care for personal needs involving eating, dressing, elimination, and hygiene as an adult, although an extended period of teaching and time is needed for the individual to become independent in these areas, and reminders may be needed.";205;"adl"
308;"Similarly, participation in all household tasks can be achieved by adulthood, although an extended period of teaching is needed, and ongoing supports will typically occur for adult-level performance.";205;"adl"
309;"Independent employment in jobs that require limited conceptual and communication skills can be achieved, but considerable support from co-workers, supervisors, and others is needed to manage social expectations, job complexities, and ancillary responsibilities such as scheduling, transportation, health benefits, and money management.";205;"adl"
310;"For adults, academic skill development is typically at an elementary level, and support is required for all use of academic skills in work and personal life.";205;"adl"
311;"All through development, the individuals conceptual skills lag markedly behind those of peers.";205;"cogdev"
312;"For school-age children, progress in reading, writing, mathematics, and understanding of time and money occurs slowly across the school years and is markedly limited compared with that of peers.";205;"cogdev"
313;"Capacity for relationships is evident in ties to family and friends, and the individual may have successful friendships across life and sometimes romantic relations in adulthood. However, individuals may not perceive or interpret social cues accurately.";205;"attachment"
314;"Ongoing assistance on a daily basis is needed to complete conceptual tasks of day-to-day life, and others may take over these responsibilities fully for the individual.";205;"adl"
315;"For preschoolers, language and pre-academic skills develop slowly.";205;"cogdev"
316;"Spoken language is quite limited in terms of vocabulary and grammar.";207;"cogdev"
317;"The individual cannot make responsible decisions regarding well-being of self or others.";207;"adl"
317;"The individual cannot make responsible decisions regarding well-being of self or others.";207;"judgment"
318;"Maladaptive behavior, including self-injury, is present in a significant minority.";207;"behavior"
318;"Maladaptive behavior, including self-injury, is present in a significant minority.";207;"self-harm"
319;"Skill acquisition in all domains involves long-term teaching and ongoing support.";207;"NULL"
320;"Caretakers provide extensive supports for problem solving throughout life.";207;"adl"
321;"The individual requires support for all activities of daily living, including meals, dressing, bathing, and elimination. The individual requires supervision at all times.";207;"adl"
322;"In adulthood, participation in tasks at home, recreation, and work requires ongoing support and assistance.";207;"adl"
323;"Attainment of conceptual skills is limited.";207;"cogdev"
324;"Language is used for social communication more than for explication.";207;"communication"
325;"Relationships with family members and familiar others are a source of pleasure and help.";207;"attachment"
326;"Speech may be single words or phrases and may be supplemented through augmentative means.";207;"cogdev"
327;"Speech and communication are focused on the here and now within everyday events.";207;"communication"
328;"Individuals understand simple speech and gestural communication.";207;"communication"
329;"The individual generally has little understanding of written language or of concepts involving numbers, quantity, time, and money.";207;"cogdev"
330;"Co-occurring sensory and physical impairments may prevent many social activities.";209;"sensory"
330;"Co-occurring sensory and physical impairments may prevent many social activities.";209;"somatic"
331;"Co-occurring physical and sensory impairments are frequent barriers to participation (beyond watching) in home, recreational, and vocational activities.";209;"adl"
331;"Co-occurring physical and sensory impairments are frequent barriers to participation (beyond watching) in home, recreational, and vocational activities.";209;"sensory"
332;"The individual may use objects in goal-directed fashion for self-care, work, and recreation.";209;"NULL"
333;"Certain visuospatial skills, such as matching and sorting based on physical characteristics, may be acquired.";209;"cogdev"
334;"Recreational activities may involve, for example, enjoyment in listening to music, watching movies, going out for walks, or participating in water activities, all with the support of others.";209;"adl"
335;"He or she may understand some simple instructions or gestures.";209;"cogdev"
336;"The individual has very limited understanding of symbolic communication in speech or gesture.";209;"communication"
337;"Simple actions with objects may be the basis of participation in some vocational activities with high levels of ongoing support.";209;"adl"
338;"co-occurring motor and sensory impairments may prevent functional use of objects.";209;"motor"
339;"The individual is dependent on others for all aspects of daily physical care, health, and safety, although he or she may be able to participate in some of these activities as well.";209;"adl"
340;"Individuals without severe physical impairments may assist with some daily work tasks at home, like carrying dishes to the table.";209;"adl"
341;"Conceptual skills generally involve the physical world rather than symbolic processes.";209;"cogdev"
342;"The individual enjoys relationships with well-known family members, caretakers, and familiar others, and initiates and responds to social interactions through gestural and emotional cues.";209;"attachment"
343;"The individual expresses his or her own desires and emotions largely through nonverbal, nonsymbolic communication.";209;"communication"
344;"Maladaptive behavior is present in a significant minority.";209;"behavior"
347;"This category is reserved for individuals over the age of 5 years when assessment of the degree of intellectual disability (intellectual developmental disorder) by means of locally available procedures is rendered difficult or impossible because of associated sensory or physical impairments, as in blindness or prelingual deafness; locomotor disability; or presence of severe problem behaviors or co-occurring mental disorder. This category should only be used in exceptional circumstances and requires reassessment after a period of time.";345;"NULL"
348;"The disturbance causes limitations in effective communication that interfere with social participation, academic achievement, or occupational performance, individually or in any combination.";352;"adl"
348;"The disturbance causes limitations in effective communication that interfere with social participation, academic achievement, or occupational performance, individually or in any combination.";352;"communication"
349;"Persistent difficulty with speech sound production that interferes with speech intelligibility or prevents verbal communication of messages.";352;"cogdev"
349;"Persistent difficulty with speech sound production that interferes with speech intelligibility or prevents verbal communication of messages.";352;"communication"
351;"Onset of symptoms is in the early developmental period.";352;"NULL"
356;"Persistent difficulties in the acquisition and use of language across modalities (i.e., spoken, written, sign language, or other) due to deficits in comprehension or production that include the following:";354;"NULL"
360;"Language abilities are substantially and quantifiably below those expected for age, resulting in functional limitations in effective communication, social participation, academic achievement, or occupational performance, individually or in any combination.";354;"adl"
360;"Language abilities are substantially and quantifiably below those expected for age, resulting in functional limitations in effective communication, social participation, academic achievement, or occupational performance, individually or in any combination.";354;"cogdev"
362;"Onset of symptoms is in the early developmental period.";354;"NULL"
365;"The disturbance causes anxiety about speaking or limitations in effective communication, social participation, or academic or occupational performance, individually or in any combination.";363;"NULL"
368;"Disturbances in the normal fluency and time patterning of speech that are inappropriate for the individuals age and language skills, persist over time, and are characterized by frequent and marked occurrences of one (or more) of the following:";363;"cogdev"
375;"The onset of symptoms is in the early developmental period. (Note: Later-onset cases are diagnosed as 307.0 [F98.5] adult-onset fluency disorder.)";363;"NULL"
376;"The deficits result in functional limitations in effective communication, social participation, social relationships, academic achievement, or occupational performance, individually or in combination.";384;"NULL"
379;"Persistent difficulties in the social use of verbal and nonverbal communication as manifested by all of the following:";384;"communication"
383;"The onset of the symptoms is in the early developmental period (but deficits may not become fully manifest until social communication demands exceed limited capacities).";384;"NULL"
388;"This category applies to presentations in which symptoms characteristic of communication disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for communication disorder or for any of the disorders in the neurodevelopmental disorders diagnostic class. The unspecified communication disorder category is used in situations in which the clinician chooses not to specify the reason that the criteria are not met for communication disorder or for a specific neurodevelopmental disorder, and includes presentations in which there is insufficient information to make a more specific diagnosis.";386;"NULL"
495;"A pattern of amphetamine-type substance, cocaine, or other stimulant use leading to clinically significant impairment or distress, as manifested by at least four of the following, occurring within a 12-month period:";274;"substance"
495;"A pattern of amphetamine-type substance, cocaine, or other stimulant use leading to clinically significant impairment or distress, as manifested by at least four of the following, occurring within a 12-month period:";276;"substance"
495;"A pattern of amphetamine-type substance, cocaine, or other stimulant use leading to clinically significant impairment or distress, as manifested by at least four of the following, occurring within a 12-month period:";489;"substance"
502;"The criteria are met for major or mild neurocognitive disorder.";500;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";507;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";509;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";511;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";513;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";515;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";517;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";519;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";521;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";523;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";525;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";527;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";529;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";531;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";533;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";535;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";537;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";581;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";585;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";587;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";842;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";859;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";880;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";882;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";894;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";898;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";905;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";907;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";915;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";917;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";922;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";924;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";929;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";931;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";934;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";936;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";939;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";941;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";945;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";947;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";951;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";787;"cogdev"
502;"The criteria are met for major or mild neurocognitive disorder.";789;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";500;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";507;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";509;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";511;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";513;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";515;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";517;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";519;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";521;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";523;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";525;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";527;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";529;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";531;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";533;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";535;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";537;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";581;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";585;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";587;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";787;"cogdev"
503;"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal.";789;"cogdev"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";500;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";507;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";509;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";511;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";513;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";515;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";517;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";519;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";521;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";523;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";525;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";527;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";529;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";531;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";533;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";535;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";537;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";581;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";585;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";587;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";787;"substance"
504;"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment.";789;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";500;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";507;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";509;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";511;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";513;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";515;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";517;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";519;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";521;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";523;"substance"
505;"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence).";525;"substance"
