"Index";"Information"
"135";"Dissociative trance: This condition is characterized by an acute narrowing or complete loss of awareness of immediate surroundings that manifests as profound unresponsiveness or insensitivity to environmental stimuli. The unresponsiveness may be accompanied by minor stereotyped behaviors (e.g., finger movements) of which the individual is unaware and/or that he or she cannot control, as well as transient paralysis or loss of consciousness. The dissociative trance is not a normal part of a broadly accepted collective cultural or religious practice."
"136";"Chronic and recurrent syndromes of mixed dissociative symptoms: This category includes identity disturbance associated with less-than-marked discontinuities in sense of self and agency, or alterations of identity or episodes of possession in an individual who reports no dissociative amnesia."
"137";"This category applies to presentations in which symptoms characteristic of a dissociative disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for any of the disorders in the dissociative disorders diagnostic class. The unspecified dissociative disorder category is used in situations in which the clinician chooses not to specify the reason that the criteria are not met for a specific dissociative disorder, and includes presentations for which there is insufficient information to make a more specific code (e.g., in emergency room settings)."
"138";"F07.0"
"139";"Personality Change Due to Another Medical Condition"
"140";"F21"
"141";"Schizotypal Personality Disorder"
"142";"F60.0"
"143";"Paranoid Personality Disorder"
"144";"F60.1"
"145";"Schizoid Personality Disorder"
"146";"F60.2"
"147";"Antisocial Personality Disorder"
"148";"F48.1"
"155";"The disturbance is not attributable to the physiological effects of a substance (e.g., a drug of abuse, medication) or another medical condition (e.g., seizures)."
"156";"The disturbance is not better explained by another mental disorder, such as schizophrenia, panic disorder, major depressive disorder, acute stress disorder, posttraumatic stress disorder, or another dissociative disorder."
"158";"Depersonalization: Experiences of unreality, detachment, or being an outside observer with respect to ones thoughts, feelings, sensations, body, or actions (e.g., perceptual alterations, distorted sense of time, unreal or absent self, emotional and/or physical numbing)."
"159";"During the depersonalization or derealization experiences, reality testing remains intact."
"160";"The presence of persistent or recurrent experiences of depersonalization, derealization, or both:"
"161";"Derealization: Experiences of unreality or detachment with respect to surroundings (e.g., individuals or objects are experienced as unreal, dreamlike, foggy, lifeless, or visually distorted)."
"162";"Other Specified Dissociative Disorder"
"163";"Depersonalization/Derealization Disorder"
"164";"F44.4"
"165";"F44.5"
"166";"F44.6"
"167";"F44.7"
"168";"One or more symptoms of altered voluntary motor or sensory function."
"169";"The symptom or deficit is not better explained by another medical or mental disorder."
"170";"The symptom or deficit causes clinically significant distress or impairment in social, occupational, or other important areas of functioning or warrants medical evaluation."
"171";"Clinical findings provide evidence of incompatibility between the symptom and recognized neurological or medical conditions."
"172";"Conversion Disorder (Functional Neurological Symptom Disorder) with weakness or paralysis/abnormal movement/swallowing symptoms/speech symptom"
"173";"Conversion Disorder (Functional Neurological Symptom Disorder) with attacks or seizures"
"174";"Conversion Disorder (Functional Neurological Symptom Disorder)  with anesthesia or sensory loss/special sensory symptom"
"176";"F45.1"
"177";"Excessive thoughts, feelings, or behaviors related to the somatic symptoms or associated health concerns as manifested by at least one of the following:"
"178";"Excessive time and energy devoted to these symptoms or health concerns."
"179";"Persistently high level of anxiety about health or symptoms."
"180";"One or more somatic symptoms that are distressing or result in significant disruption of daily life."
"181";"Disproportionate and persistent thoughts about the seriousness of ones symptoms."
"182";"Although any one somatic symptom may not be continuously present, the state of being symptomatic is persistent (typically more than 6 months)."
"183";"Somatic Symptom Disorder"
"184";"F45.21"
"185";"Illness anxiety disorder"
"186";"Illness preoccupation has been present for at least 6 months, but the specific illness that is feared may change over that period of time."
"187";"There is a high level of anxiety about health, and the individual is easily alarmed about personal health status."
"188";"Preoccupation with having or acquiring a serious illness."""
"189";"The illness-related preoccupation is not better explained by another mental disorder, such as somatic symptom disorder, panic disorder, generalized anxiety disorder, body dysmorphic disorder, obsessive-compulsive disorder, or delusional disorder, somatic type."
"190";"Somatic symptoms are not present or, if present, are only mild in intensity. If another medical condition is present or there is a high risk for developing a medical condition (e.g., strong family history is present), the preoccupation is clearly excessive or disproportionate."
"191";"The individual performs excessive health-related behaviors (e.g., repeatedly checks his or her body for signs of illness) or exhibits maladaptive avoidance (e.g., avoids doctor appointments and hospitals)."
"192";"F45.8"
"193";"Other Specified Somatic Symptom and Related Disorder"
"194";"Brief illness anxiety disorder: Duration of symptoms is less than 6 months."
"195";"Brief somatic symptom disorder: Duration of symptoms is less than 6 months."
"196";"Illness anxiety disorder without excessive health-related behaviors: Criterion D for illness anxiety disorder is not met."
"197";"Pseudocyesis: A false belief of being pregnant that is associated with objective signs and reported symptoms of pregnancy."
"198";"F45.9"
"199";"Unspecified Somatic Symptom and Related Disorder"
"200";"F70"
"201";"Deficits in intellectual functions, such as reasoning, problem solving, planning, abstract thinking, judgment, academic learning, and learning from experience, confirmed by both clinical assessment and individualized, standardized intelligence testing."
"202";"(Mild)Intellectual Disability"
"203";"Deficits in adaptive functioning that result in failure to meet developmental and sociocultural standards for personal independence and social responsibility. Without ongoing support, the adaptive deficits limit functioning in one or more activities of daily life, such as communication, social participation, and independent living, across multiple environments, such as home, school, work, and community."
"204";"Onset of intellectual and adaptive deficits during the developmental period."
"205";"F71"
"206";"(Moderate)Intellectual Disability"
"207";"F72"
"208";"(Severe)Intellectual Disability"
"209";"F73"
"210";"(Profound)Intellectual Disability"
"211";"For preschool children,there may be no obvious conceptual differences."
"212";"For school-age children and adults,there are difficulties in learning academic skills involving reading, writing, arithmetic, time, or money, with support needed in one or more areas to meet age-related expectations."
"213";"In adults, abstract thinking, executive function (i.e., planning, strategizing, priority setting, and cognitive flexibility), and short-term memory, as well as functional use of academic skills (e.g., reading, money management), are impaired."
"214";"Compared with typically developing age-mates, the individual is immature in social interactions. For example, there may be difficulty in accurately perceiving peers social cues."
"215";"Communication, conversation, and language are more concrete or immature than expected for age. "
"216";"There may be difficulties regulating emotion and behavior in age-appropriate fashion; these difficulties are noticed by peers in social situations."
"217";"There is limited understanding of risk in social situations; social judgment is immature for age, and the person is at risk of being manipulated by others (gullibility)."
"218";"The individual may function age-appropriately in personal care."
"219";"Individuals need some support with complex daily living tasks in comparison to peers."
"220";"In adulthood, supports typically involve grocery shopping, transportation, home and child-care organizing, nutritious food preparation, and banking and money management."
"221";"Recreational skills resemble those of age-mates, although judgment related to well-being and organization around recreation requires support."
"222";"In adulthood, competitive employment is often seen in jobs that do not emphasize conceptual skills."
"223";"Individuals generally need support to make health care decisions and legal decisions, and to learn to perform a skilled vocation competently."
"224";"Support is typically needed to raise a family."
"225";"There is a somewhat concrete approach to problems and solutions compared with age-mates"
"226";"Unspecified Dissociative Disorder"
"227";"F60.3"
"228";"Borderline Personality Disorder"
"229";"F60.4"
"230";"Histronic Personality Disorder"
"231";"F60.5"
"232";"Obsessive-Compulsive Personality Disorder"
"233";"F60.6"
"234";"Avoidant Personality Disorder"
"235";"F60.7"
"236";"Dependent Personality Disorder"
"237";"F60.81"
"238";"Narcissistic Personality Disorder"
"239";"F60.89"
"240";"Other Specified Personality Disorder"
"241";"F60.9"
"242";"Unspecified Personality Disorder"
"243";"F65.0"
"244";"Fetishism"
"245";"F65.1"
"246";"Transvestic Disorder"
"247";"F65.2"
"248";"Exhibitionistic Disorder"
"249";"F65.3"
"250";"Voyeurism"
"251";"F65.4"
"252";"Pedophilia"
"253";"F65.51"
"254";"Sexual Masochism Disorder"
"255";"F65.52"
"256";"Sexual Sadism Disorder"
"257";"F65.81"
"258";"Frotteuristic Disorder"
"259";"F65.89"
"260";"Other Specified Paraphilic Disorder"
"261";"F65.9"
"262";"Unspecified Paraphilic Disorder"
"263";"F06.8"
"264";"Other Specified Mental Disorder Due to Another Medical Condition"
"265";"F09"
"266";"Unspecified Mental Disorder Due to Another Medical Condition"
"267";"F99_other"
"268";"Other Specified Mental Disorder"
"269";"F99_unspecified"
"270";"Unspecified Mental Disorder"
"271";"11"
"272";"apathy"
"273";"< 14"
"274";"F15.20_amphetamine"
"275";"Moderate Stimulant Use Disorder (Amphetamine-type substance)"
"276";"F15.20_otherUnspecified"
"277";"Moderate Stimulant Use Disorder (Other or unspecified stimulant)"
"278";"F13.20"
"279";"Sedative, Hypnotic, or Anxiolytic Use Disorder"
"280";"F16.20_PhencyclidineUse"
"281";"Phencyclidine Use Disorder"
"282";"F16.20_HallucinogenUse"
"283";"Other Hallucinogen Use Disorder"
"284";"F18.20"
"285";"Inhalant Use Disorder"
"286";"F19.20"
"287";"Other (or Unknown) Substance Use Disorder"
"288";"F10.121"
"289";"Mild Delirium, with use disorder (alcohol)"
"290";"F12.121"
"291";"Mild Delirium, with use disorder (cannabis)"
"292";"F16.121_OtherHallucinogen"
"293";"Mild Delirium, with use disorder (other hallucinogen)"
"294";"F16.121_Phencyclidine"
"295";"Mild Delirium, with use disorder (phencyclidine)"
"296";"F18.121"
"297";"Mild Delirium, with use disorder (inhalant)"
"298";"F11.121"
"299";"Mild Delirium, with use disorder (opioid)"
"300";"Spoken language is typically a primary tool for social communication but is much less complex than that of peers."
"301";"Social judgment and decision-making abilities are limited, and caretakers must assist the person with life decisions."
"302";"Maladaptive behavior is present in a significant minority and causes social problems."
"303";"The individual shows marked differences from peers in social and communicative behavior across development."
"304";"Friendships with typically developing peers are often affected by communication or social limitations."
"305";"A variety of recreational skills can be developed. These typically require additional supports and learning opportunities over an extended period of time."
"306";"Significant social and communicative support is needed in work settings for success."
"307";"The individual can care for personal needs involving eating, dressing, elimination, and hygiene as an adult, although an extended period of teaching and time is needed for the individual to become independent in these areas, and reminders may be needed."
"308";"Similarly, participation in all household tasks can be achieved by adulthood, although an extended period of teaching is needed, and ongoing supports will typically occur for adult-level performance."
"309";"Independent employment in jobs that require limited conceptual and communication skills can be achieved, but considerable support from co-workers, supervisors, and others is needed to manage social expectations, job complexities, and ancillary responsibilities such as scheduling, transportation, health benefits, and money management."
"310";"For adults, academic skill development is typically at an elementary level, and support is required for all use of academic skills in work and personal life."
"311";"All through development, the individuals conceptual skills lag markedly behind those of peers."
"312";"For school-age children, progress in reading, writing, mathematics, and understanding of time and money occurs slowly across the school years and is markedly limited compared with that of peers."
"313";"Capacity for relationships is evident in ties to family and friends, and the individual may have successful friendships across life and sometimes romantic relations in adulthood. However, individuals may not perceive or interpret social cues accurately."
"314";"Ongoing assistance on a daily basis is needed to complete conceptual tasks of day-to-day life, and others may take over these responsibilities fully for the individual."
"315";"For preschoolers, language and pre-academic skills develop slowly."
"316";"Spoken language is quite limited in terms of vocabulary and grammar."
"317";"The individual cannot make responsible decisions regarding well-being of self or others."
"318";"Maladaptive behavior, including self-injury, is present in a significant minority."
"319";"Skill acquisition in all domains involves long-term teaching and ongoing support."
"320";"Caretakers provide extensive supports for problem solving throughout life."
"321";"The individual requires support for all activities of daily living, including meals, dressing, bathing, and elimination. The individual requires supervision at all times."
"322";"In adulthood, participation in tasks at home, recreation, and work requires ongoing support and assistance."
"323";"Attainment of conceptual skills is limited."
"324";"Language is used for social communication more than for explication."
"325";"Relationships with family members and familiar others are a source of pleasure and help."
"326";"Speech may be single words or phrases and may be supplemented through augmentative means."
"327";"Speech and communication are focused on the here and now within everyday events."
"328";"Individuals understand simple speech and gestural communication."
"329";"The individual generally has little understanding of written language or of concepts involving numbers, quantity, time, and money."
"330";"Co-occurring sensory and physical impairments may prevent many social activities."
"331";"Co-occurring physical and sensory impairments are frequent barriers to participation (beyond watching) in home, recreational, and vocational activities."
"332";"The individual may use objects in goal-directed fashion for self-care, work, and recreation."
"333";"Certain visuospatial skills, such as matching and sorting based on physical characteristics, may be acquired."
"334";"Recreational activities may involve, for example, enjoyment in listening to music, watching movies, going out for walks, or participating in water activities, all with the support of others."
"335";"He or she may understand some simple instructions or gestures."
"336";"The individual has very limited understanding of symbolic communication in speech or gesture."
"337";"Simple actions with objects may be the basis of participation in some vocational activities with high levels of ongoing support."
"338";"co-occurring motor and sensory impairments may prevent functional use of objects."
"339";"The individual is dependent on others for all aspects of daily physical care, health, and safety, although he or she may be able to participate in some of these activities as well."
"340";"Individuals without severe physical impairments may assist with some daily work tasks at home, like carrying dishes to the table."
"341";"Conceptual skills generally involve the physical world rather than symbolic processes."
"342";"The individual enjoys relationships with well-known family members, caretakers, and familiar others, and initiates and responds to social interactions through gestural and emotional cues."
"343";"The individual expresses his or her own desires and emotions largely through nonverbal, nonsymbolic communication."
"344";"Maladaptive behavior is present in a significant minority."
"345";"F79"
"346";"Unspecified Intellectual Disability (Intellectual Developmental Disorder)"
"347";"This category is reserved for individuals over the age of 5 years when assessment of the degree of intellectual disability (intellectual developmental disorder) by means of locally available procedures is rendered difficult or impossible because of associated sensory or physical impairments, as in blindness or prelingual deafness; locomotor disability; or presence of severe problem behaviors or co-occurring mental disorder. This category should only be used in exceptional circumstances and requires reassessment after a period of time."
"348";"The disturbance causes limitations in effective communication that interfere with social participation, academic achievement, or occupational performance, individually or in any combination."
"349";"Persistent difficulty with speech sound production that interferes with speech intelligibility or prevents verbal communication of messages."
"350";"The difficulties are not attributable to congenital or acquired conditions, such as cerebral palsy, cleft palate, deafness or hearing loss, traumatic brain injury, or other medical or neurological conditions."
"351";"Onset of symptoms is in the early developmental period."
"352";"F80.0"
"353";"Speech Sound Disorder"
"354";"F80.2"
"355";"Language Disorder"
"356";"Persistent difficulties in the acquisition and use of language across modalities (i.e., spoken, written, sign language, or other) due to deficits in comprehension or production that include the following:"
"357";"Reduced vocabulary (word knowledge and use)."
"358";"Limited sentence structure (ability to put words and word endings together to form sentences based on the rules of grammar and morphology)."
"359";"Impairments in discourse (ability to use vocabulary and connect sentences to explain or describe a topic or series of events or have a conversation)."
"360";"Language abilities are substantially and quantifiably below those expected for age, resulting in functional limitations in effective communication, social participation, academic achievement, or occupational performance, individually or in any combination."
"361";"The difficulties are not attributable to hearing or other sensory impairment, motor dysfunction, or another medical or neurological condition and are not better explained by intellectual disability (intellectual developmental disorder) or global developmental delay."
"362";"Onset of symptoms is in the early developmental period."
"363";"F80.81"
"364";"Childhood-Onset Fluency Disorder (Stuttering)"
"365";"The disturbance causes anxiety about speaking or limitations in effective communication, social participation, or academic or occupational performance, individually or in any combination."
"366";"Circumlocutions (word substitutions to avoid problematic words)."
"367";"The disturbance is not attributable to a speech-motor or sensory deficit, dysfluency associated with neurological insult (e.g., stroke, tumor, trauma), or another medical condition and is not better explained by another mental disorder."
"368";"Disturbances in the normal fluency and time patterning of speech that are inappropriate for the individuals age and language skills, persist over time, and are characterized by frequent and marked occurrences of one (or more) of the following:"
"369";"Monosyllabic whole-word repetitions (e.g., I-I-I-I see him)."
"370";"Words produced with an excess of physical tension."
"371";"Sound prolongations of consonants as well as vowels."
"372";"Sound and syllable repetitions."
"373";"Broken words (e.g., pauses within a word)."
"374";"Audible or silent blocking (filled or unfilled pauses in speech)."
"375";"The onset of symptoms is in the early developmental period. (Note: Later-onset cases are diagnosed as 307.0 [F98.5] adult-onset fluency disorder.)"
"376";"The deficits result in functional limitations in effective communication, social participation, social relationships, academic achievement, or occupational performance, individually or in combination."
"377";"The symptoms are not attributable to another medical or neurological condition or to low abilities in the domains of word structure and grammar, and are not better explained by autism spectrum disorder, intellectual disability (intellectual developmental disorder), global developmental delay, or another mental disorder."
"378";"Difficulties following rules for conversation and storytelling, such as taking turns in conversation, rephrasing when misunderstood, and knowing how to use verbal and nonverbal signals to regulate interaction."
"379";"Persistent difficulties in the social use of verbal and nonverbal communication as manifested by all of the following:"
"380";"Impairment of the ability to change communication to match context or the needs of the listener, such as speaking differently in a classroom than on a playground, talking differently to a child than to an adult, and avoiding use of overly formal language."
"381";"Deficits in using communication for social purposes, such as greeting and sharing information, in a manner that is appropriate for the social context."
"382";"Difficulties understanding what is not explicitly stated (e.g., making inferences) and nonliteral or ambiguous meanings of language (e.g., idioms, humor, metaphors, multiple meanings that depend on the context for interpretation)."
"383";"The onset of the symptoms is in the early developmental period (but deficits may not become fully manifest until social communication demands exceed limited capacities)."
"384";"F80.82"
"385";"Social (Pragmatic) Communication Disorder"
"386";"F80.9"
"387";"Unspecified Communication Disorder"
"388";"This category applies to presentations in which symptoms characteristic of communication disorder that cause clinically significant distress or impairment in social, occupational, or other important areas of functioning predominate but do not meet the full criteria for communication disorder or for any of the disorders in the neurodevelopmental disorders diagnostic class. The unspecified communication disorder category is used in situations in which the clinician chooses not to specify the reason that the criteria are not met for communication disorder or for a specific neurodevelopmental disorder, and includes presentations in which there is insufficient information to make a more specific diagnosis."
"389";"F81.0"
"390";"(With impairment in reading) Specific Learning Disorder"
"391";"F81.81"
"392";"(With impairment in written expression) Specific Learning Disorder"
"393";"F81.2"
"394";"(With impairment in mathematics) Specific Learning Disorder"
"401";"F15.929_Caffeine"
"402";"Caffeine Intoxication"
"403";"F15.282_Caffeine"
"404";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (caffeine)"
"405";"F15.982_Caffeine"
"406";"Substance/Medication-Induced Sleep Disorder, without use (caffeine)"
"407";"F12.188"
"408";"Mild Substance/Medication-Induced Sleep Disorder, with use (cannabis)"
"409";"F12.288"
"410";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (cannabis)"
"411";"F12.988"
"412";"Substance/Medication-Induced Sleep Disorder, without use (cannabis)"
"413";"F11.182"
"414";"Mild Substance/Medication-Induced Sleep Disorder, with use (opioid)"
"415";"F11.282"
"416";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (opioid)"
"417";"F11.982"
"418";"Substance/Medication-Induced Sleep Disorder, without use (opioid)"
"419";"F13.182"
"420";"Mild Substance/Medication-Induced Sleep Disorder, with use (Sedative, hypnotic, or anxiolytic)"
"421";"F13.282"
"422";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (Sedative, hypnotic, or anxiolytic)"
"423";"F13.982"
"424";"Substance/Medication-Induced Sleep Disorder, without use (Sedative, hypnotic, or anxiolytic)"
"425";"F15.182_AmphetamineOrOther"
"426";"Mild Substance/Medication-Induced Sleep Disorder, with use (Amphetamine (or other stimulant))"
"427";"F15.282_AmphetamineOrOther"
"428";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (Amphetamine (or other stimulant))"
"429";"F15.982_AmphetamineOrOther"
"430";"Substance/Medication-Induced Sleep Disorder, without use (Amphetamine (or other stimulant))"
"431";"F14.182"
"432";"MildSubstance/Medication-Induced Sleep Disorder, with use (cocaine)"
"433";"F14.282"
"434";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (cocaine)"
"435";"F14.982"
"436";"Substance/Medication-Induced Sleep Disorder, without use (cocaine)"
"437";"F17.208"
"438";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use disorder (tobacco)"
"439";"F19.182"
"440";"Mild Substance/Medication-Induced Sleep Disorder, with use (Other (or unknown) substance)"
"441";"F19.282"
"442";"Moderate or Severe Substance/Medication-Induced Sleep Disorder, with use (Other (or unknown) substance)"
"443";"F19.982"
"444";"Substance/Medication-Induced Sleep Disorder, without use (Other (or unknown) substance)"
"445";"F10.14"
"446";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (alcohol)"
"447";"F10.24"
"448";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (alcohol)"
"449";"F10.94"
"450";"Substance/Medication-Induced Bipolar and Related Disorder, without use (alcohol)"
"451";"F16.14_Phencyclidine"
"452";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (phencyclidine)"
"453";"F16.24_Phencyclidine"
"454";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (phencyclidine)"
"455";"F16.94_Phencyclidine"
"456";"Substance/Medication-Induced Bipolar and Related Disorder, without use (phencyclidine)"
"457";"F16.14_OtherHallucinogen"
"458";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (other hallucinogen)"
"459";"F16.24_OtherHallucinogen"
"460";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (other hallucinogen)"
"461";"F16.94_OtherHallucinogen"
"462";"Substance/Medication-Induced Bipolar and Related Disorder, without use (other hallucinogen)"
"463";"F13.14"
"464";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (sedative, hypnotic, or anxiolytic)"
"465";"F13.24"
"466";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (sedative, hypnotic, or anxiolytic)"
"467";"F13.94"
"468";"Substance/Medication-Induced Bipolar and Related Disorder, without use (Sedative, hypnotic, or anxiolytic)"
"469";"F15.14"
"470";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (Amphetamine (or other stimulant))"
"471";"F15.24"
"472";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (Amphetamine (or other stimulant))"
"473";"F15.94"
"474";"Substance/Medication-Induced Bipolar and Related Disorder, without use (Amphetamine (or other stimulant))"
"475";"F14.14"
"476";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (cocaine)"
"477";"F14.24"
"478";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (cocaine)"
"479";"F14.94"
"480";"Substance/Medication-Induced Bipolar and Related Disorder, without use (cocaine)"
"481";"F19.14"
"482";"Mild Substance/Medication-Induced Bipolar and Related Disorder, with use (Other (or unknown) substance)"
"483";"F19.24"
"484";"Moderate or Severe Substance/Medication-Induced Bipolar and Related Disorder, with use (Other (or unknown) substance)"
"485";"F19.94"
"486";"Substance/Medication-Induced Bipolar and Related Disorder, without use (Other (or unknown) substance)"
"487";"F10.20"
"488";"Moderate Alcohol Use Disorder"
"489";"F14.20"
"490";"Moderate Stimulant Use Disorder (Cocaine)"
"491";"F11.20"
"492";"Opioid Use Disorder"
"493";"F12.20"
"494";"Cannabis Use Disorder"
"495";"A pattern of amphetamine-type substance, cocaine, or other stimulant use leading to clinically significant impairment or distress, as manifested by at least four of the following, occurring within a 12-month period:"
"496";"Continued stimulant use despite having persistent or recurrent social or interpersonal problems caused or exacerbated by the effects of the stimulant."
"497";"F42.8"
"498";"Other Specified Obsessive-Compulsive and Related Disorder"
"499";"Important social, occupational, or recreational activities are given up or reduced because of stimulant use."
"500";"F19.17"
"501";"Mild Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Other (or unknown) substance (major neurocognitive disorder))"
"502";"The criteria are met for major or mild neurocognitive disorder."
"503";"The neurocognitive impairments do not occur exclusively during the course of a delirium and persist beyond the usual duration of intoxication and acute withdrawal."
"504";"The involved substance or medication and duration and extent of use are capable of producing the neurocognitive impairment."
"505";"The temporal course of the neurocognitive deficits is consistent with the timing of substance or medication use and abstinence (e.g., the deficits remain stable or improve after a period of abstinence)."
"506";"The neurocognitive disorder is not attributable to another medical condition or is not better explained by another mental disorder."
"507";"F10.27"
"508";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Alcohol (major neurocognitive disorder), nonamnestic - confabulatory type)"
"509";"F10.26"
"510";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Alcohol (major neurocognitive disorder), amnestic-confabulatory type)"
"511";"F10.288"
"512";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Alcohol (mild neurocognitive disorder))"
"513";"F18.27"
"514";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Inhalant (major neurocognitive disorder))"
"515";"F18.288"
"516";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Inhalant (mild neurocognitive disorder))"
"517";"F13.27"
"518";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Sedative, hypnotic, or anxiolytic (major neurocognitive disorder))"
"519";"F13.288"
"520";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Sedative, hypnotic, or anxiolytic (mild neurocognitive disorder))"
"521";"F19.27"
"522";"Moderate or Severe Substance/Medication-Induced Major or Mild Neurocognitive Disorder, With use (Other (or unknown) substance (major neurocognitive disorder))"
"523";"F10.97"
"524";"Substance/Medication-Induced Major or Mild Neurocognitive Disorder, Without use (Alcohol (major neurocognitive disorder), nonamnestic - confabulatory type)"
"525";"F10.96"
"526";"Substance/Medication-Induced Major or Mild Neurocognitive Disorder, Without use (Alcohol (major neurocognitive disorder), amnestic - confabulatory type)"
"527";"F10.988"
"528";"Substance/Medication-Induced Major or Mild Neurocognitive Disorder, Without use (Alcohol (mild neurocognitive disorder))"
"529";"F18.97"
"530";"Substance/Medication-Induced Major or Mild Neurocognitive Disorder, Without use (Inhalant (major neurocognitive disorder))"
"531";"F18.988"
"532";"Substance/Medication-Induced Major or Mild Neurocognitive Disorder, Without use (Inhalant (mild neurocognitive disorder))"
"533";"F13.97"
