"question_ID";"Description";"SymptomOrEvidence";"SE_ID"
"q_2";"Does the client encounter any difficulties with personal care, such as eating, dressing, elimination, and hygiene?";"S";332
"q_3";"Does the client encounter any difficulties with making decisions?";"S";301
"q_3";"Does the client encounter any difficulties with making decisions?";"S";317
"q_3";"Does the client encounter any difficulties with making decisions?";"S";320
"q_3";"Does the client encounter any difficulties with making decisions?";"S";223
"q_3";"Does the client encounter any difficulties with making decisions?";"S";319
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";219
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";220
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";308
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";340
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";314
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";339
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"E";1051
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";322
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";331
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"E";695
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"E";2361
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"E";2421
"q_4";"Does the client encounter any difficulties with household tasks, such as taking care of children, grocery shopping, transportation, and money management?";"S";319
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";223
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";1051
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";322
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";331
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";695
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2361
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2421
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";348
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";360
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";1552
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";2338
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";499
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";203
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2501
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2516
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2555
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2570
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";224
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";337
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";957
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2451
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2515
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";2109
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2553
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"E";2572
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";309
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";319
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";332
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";384
"q_5";"Does the client encounter any difficulties with work, such as scheduling, organizing events, solving problems, and working with co-workers?";"S";365
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";384
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";1051
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";306
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";348
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";360
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";1552
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";2338
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";499
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2422
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2518
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2571
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";2106
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";203
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2501
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2516
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2555
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"E";2570
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";309
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";325
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";319
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";365
"q_6";"Does the client encounter any difficulties with interacting and communicating with others?";"S";356
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"E";1051
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";322
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";331
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";334
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"E";2501
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"E";2516
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"E";2555
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"E";2570
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";221
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";305
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";319
"q_7";"Does the client encounter any difficulties with recreational activities, such as participating in outdoor activities, watching movies, and listening to music?";"S";332
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";1051
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";1092
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";695
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2361
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2421
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";310
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";348
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";360
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";1552
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";2338
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";499
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2451
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2515
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2553
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"E";2572
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";319
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";356
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";384
"q_8";"Does the client encounter any difficulties with academic functioning, such as memory, reasoning, and comprehension?";"S";365
"q_9";"Does the client use any mind-altering substances such as inhalant substance, Phencyclidine, Cannabis, sedative substance, sedative, hypnotic, and anxiolytic?";"E";496
"q_9";"Does the client use any mind-altering substances such as inhalant substance, Phencyclidine, Cannabis, sedative substance, sedative, hypnotic, and anxiolytic?";"E";2452
"q_9";"Does the client use any mind-altering substances such as inhalant substance, Phencyclidine, Cannabis, sedative substance, sedative, hypnotic, and anxiolytic?";"E";2502
"q_9";"Does the client use any mind-altering substances such as inhalant substance, Phencyclidine, Cannabis, sedative substance, sedative, hypnotic, and anxiolytic?";"E";2554
"q_9";"Does the client use any mind-altering substances such as inhalant substance, Phencyclidine, Cannabis, sedative substance, sedative, hypnotic, and anxiolytic?";"S";2423
"q_10";"Does the client have significant absence of relationships with others?";"E";803
"q_10";"Does the client have significant absence of relationships with others?";"E";818
"q_10";"Does the client have significant absence of relationships with others?";"E";956
"q_10";"Does the client have significant absence of relationships with others?";"E";1027
"q_10";"Does the client have significant absence of relationships with others?";"S";802
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";808
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";1013
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";804
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";809
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";813
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"E";814
"q_11";"Is the client often suspicious about others in relationships? (E.g. disloyalty, abandonment, deception)";"S";815
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"E";1042
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"S";1043
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"S";2096
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"S";1044
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"E";808
"q_12";"Does the client feel fear in relationships? (E.g. separation, shame, abandonment)";"E";1013
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1043
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1044
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1012
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1018
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1019
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1050
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1052
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1026
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";1056
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"E";2603
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1017
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1028
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1035
"q_13";"Does the client act inappropriately while interacting with others? (E.g. excessive attention seeking, preoccupation with details, need for admiration)";"S";1053
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";214
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";302
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";303
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";304
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";313
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";342
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";817
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";802
"q_14";"Does the client encounter any difficulties with socializing with others? (E.g. understanding and expressing gestural and emotional cues, communicating with others)";"S";365
"q_15";"Does the client have any hyperactive-impulsive symptom?";"S";1090
"q_15";"Does the client have any hyperactive-impulsive symptom?";"S";1521
"q_15";"Does the client have any hyperactive-impulsive symptom?";"S";1550
"q_15";"Does the client have any hyperactive-impulsive symptom?";"S";1551
"q_15";"Does the client have any hyperactive-impulsive symptom?";"E";887
"q_15";"Does the client have any hyperactive-impulsive symptom?";"E";901
"q_15";"Does the client have any hyperactive-impulsive symptom?";"E";957
"q_15";"Does the client have any hyperactive-impulsive symptom?";"E";1700
"q_15";"Does the client have any hyperactive-impulsive symptom?";"E";2711
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";980
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2775
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2666
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2679
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2712
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2753
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2775
"q_16";"Does the client use any mind-altering substances such as Cannabis, Opioid, Hallucinogen, Phencyclidine, and Cocaine?";"S";2788
"q_17";"Does the client have excessive concerns about his/her/their physical health?";"E";178
"q_17";"Does the client have excessive concerns about his/her/their physical health?";"S";177
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"E";806
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"E";955
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"E";1877
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"S";1222
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"S";1229
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"S";1656
"q_18";"Does the client always behave differently compared to others? (E.g. acting solitarily, passaging feces into inappropriate places)";"E";1914
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"E";1501
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"S";1508
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"E";1020
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"E";1030
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"E";1034
"q_19";"Does the client demonstrate rigidity or stubbornness in his/her/their behavior? (E.g. restricted patterns of behavior, repetitive movements)";"E";1500
"q_20";"Does the client have any abnormal eating behavior, such as binge eating and purging?";"S";1159
"q_20";"Does the client have any abnormal eating behavior, such as binge eating and purging?";"S";1162
"q_20";"Does the client have any abnormal eating behavior, such as binge eating and purging?";"S";1171
"q_20";"Does the client have any abnormal eating behavior, such as binge eating and purging?";"S";1172
"q_21";"Does the client encounter any difficulties in adjusting to certain situations? (E.g. aggression, self-injury)";"S";302
"q_21";"Does the client encounter any difficulties in adjusting to certain situations? (E.g. aggression, self-injury)";"S";318
"q_21";"Does the client encounter any difficulties in adjusting to certain situations? (E.g. aggression, self-injury)";"S";344
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";806
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";955
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";1877
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"S";2109
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"S";1222
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"S";1229
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"S";1656
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";1914
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";978
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";1019
"q_22";"Does the client have any abnormal behavior while interacting with others? (E.g. communicative deficits, deception)";"E";1190
"q_136";"Does the client have difficulty throwing away possessions?";"S";2138
"q_136";"Does the client have difficulty throwing away possessions?";"S";2141
"q_136";"Does the client have difficulty throwing away possessions?";"S";2142
"q_136";"Does the client have difficulty throwing away possessions?";"S";2143
"q_23";"Does the client have any aggressive behavior, including physical or verbal aggression?";"S";1965
"q_23";"Does the client have any aggressive behavior, including physical or verbal aggression?";"E";1913
"q_23";"Does the client have any aggressive behavior, including physical or verbal aggression?";"S";1966
"q_23";"Does the client have any aggressive behavior, including physical or verbal aggression?";"E";2299
"q_23";"Does the client have any aggressive behavior, including physical or verbal aggression?";"E";1914
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";300
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";316
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";2106
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";326
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";349
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";368
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";357
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";358
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";2109
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";369
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";370
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";371
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";372
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";373
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";374
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";876
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";1022
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";1647
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";2469
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";2676
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";2716
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";215
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";360
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"E";877
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";365
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";384
"q_24";"Does the client encounter any difficulties with speaking clearly? (E.g. slurred speech, broken words, reduced vocabulary)";"S";356
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";335
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";215
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";2109
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";360
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";356
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";365
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";1092
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"S";384
"q_25";"Does the client encounter any difficulties with understanding what other people say? (E.g. understanding gestures, words, or grammar)";"E";877
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";341
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";1092
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"E";703
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"E";704
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"E";705
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"E";706
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"E";843
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";315
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";201
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";212
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";222
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";225
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";311
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";312
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";323
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";329
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";707
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";708
"q_26";"Does the client encounter any difficulties with learning a language? (E.g. reading passages, writing, spelling words)";"S";709
