"evidence_ID";"dx_criteria_ID";"evidence"
796;802;"Odd thinking and speech (e.g., vague, circumstantial, metaphorical, overelaborate, or stereotyped)."
797;802;"Inappropriate or constricted affect."
798;802;"Ideas of reference (excluding delusions of reference)."
800;802;"Excessive social anxiety that does not diminish with familiarity and tends to be associated with paranoid fears rather than negative judgments about self."
801;802;"Unusual perceptual experiences, including bodily illusions."
803;802;"Lack of close friends or confidants other than first-degree relatives."
804;802;"Suspiciousness or paranoid ideation."
805;802;"Odd beliefs or magical thinking that influences behavior and is inconsistent with subcultural norms (e.g., superstitiousness, belief in clairvoyance, telepathy, or sixth sense; in children and adolescents, bizarre fantasies or preoccupations)."
806;802;"Behavior or appearance that is odd, eccentric, or peculiar."
808;815;"Is reluctant to confide in others because of unwarranted fear that the information will be used maliciously against him or her."
809;815;"Is preoccupied with unjustified doubts about the loyalty or trustworthiness of friends or associates."
810;815;"Persistently bears grudges (i.e., is unforgiving of insults, injuries, or slights)."
811;815;"Perceives attacks on his or her character or reputation that are not apparent to others and is quick to react angrily or to counterattack."
813;815;"Has recurrent suspicions, without justification, regarding fidelity of spouse or sexual partner."
814;815;"Suspects, without sufficient basis, that others are exploiting, harming, or deceiving him or her."
816;815;"Reads hidden demeaning or threatening meanings into benign remarks or events."
818;817;"Neither desires nor enjoys close relationships, including being part of a family."
820;817;"Takes pleasure in few, if any, activities."
821;817;"Appears indifferent to the praise or criticism of others."
822;817;"Shows emotional coldness, detachment, or flattened affectivity."
823;817;"Has little, if any, interest in having sexual experiences with another person."
828;827;"The symptoms preceded the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced depressive disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
843;502;"Evidence of significant cognitive decline from a previous level of performance in one or more cognitive domains (complex attention, executive function, learning and memory, language, perceptual-motor, or social cognition) based on:"
844;843;"Concern of the individual, a knowledgeable informant, or the clinician that there has been a significant decline in cognitive function; and"
844;860;"Concern of the individual, a knowledgeable informant, or the clinician that there has been a significant decline in cognitive function; and"
845;843;"A substantial impairment in cognitive performance, preferably documented by standardized neuropsychological testing or, in its absence, another quantified clinical assessment."
846;502;"The cognitive deficits interfere with independence in everyday activities (i.e., at a minimum, requiring assistance with complex instrumental activities of daily living such as paying bills or managing medications)."
847;502;"The cognitive deficits do not occur exclusively in the context of a delirium"
848;502;"The cognitive deficits are not better explained by another mental disorder (e.g., major depressive disorder, schizophrenia)"
852;851;"Evidence of a causative Alzheimers disease genetic mutation from family history or genetic testing"
853;851;"All three of the following are present"
854;853;"Clear evidence of decline in memory and learning and at least one other cognitive domain (based on detailed history or serial neuropsychological testing)"
855;853;"Steadily progressive, gradual decline in cognition, without extended plateaus"
856;853;"No evidence of mixed etiology (i.e., absence of other neurodegenerative or cerebrovascular disease, or another neurological, mental, or systemic disease or condition likely contributing to cognitive decline)"
860;502;"Evidence of modest cognitive decline from a previous level of performance in one or more cognitive domains (complex attention, executive function, learning and memory, language, perceptual-motor, or social cognition) based on"
861;860;"A modest impairment in cognitive performance, preferably documented by standardized neuropsychological testing or, in its absence, another quantified clinical assessment"
862;502;"The cognitive deficits do not interfere with capacity for independence in everyday activities (i.e., complex instrumental activities of daily living such as paying bills or managing medications are preserved, but greater effort, compensatory strategies, or accommodation may be required)"
863;850;"For mild neurocognitive disorder: Probable Alzheimer's disease is diagnosed if there is evidence of a causative Alzheimers disease genetic mutation from either genetic testing or family history"
868;867;"Behavioral variant"
869;868;"Three or more of the following behavioral symptoms"
870;869;"Behavioral disinhibition"
871;869;"Apathy or inertia"
872;869;"Loss of sympathy or empathy"
873;869;"Perseverative, stereotyped or compulsive/ritualistic behavior"
874;869;"Hyperorality and dietary changes"
875;868;"Prominent decline in social cognition and/or executive abilities"
876;867;"Language variant"
877;876;"Prominent decline in language ability, in the form of speech production, word finding, object naming, grammar, or word comprehension"
887;884;"Fluctuating cognition with pronounced variations in attention and alertness"
887;896;"Fluctuating cognition with pronounced variations in attention and alertness"
888;884;"Recurrent visual hallucinations that are well formed and detailed"
888;896;"Recurrent visual hallucinations that are well formed and detailed"
889;884;"Spontaneous features of parkinsonism, with onset subsequent to the development of cognitive decline"
889;896;"Spontaneous features of parkinsonism, with onset subsequent to the development of cognitive decline"
891;884;"Meets criteria for rapid eye movement sleep behavior disorder"
891;896;"Meets criteria for rapid eye movement sleep behavior disorder"
892;884;"Severe neuroleptic sensitivity"
892;896;"Severe neuroleptic sensitivity"
895;860;"Concern of the individual, a knowledgeable informant, or the clinician that there has been a mild decline in cognitive function; and"
900;899;"Onset of the cognitive deficits is temporally related to one or more cerebrovascular events"
901;899;"Evidence for decline is prominent in complex attention (including processing speed) and frontal-executive function"
909;908;"Loss of consciousness"
910;908;"Posttraumatic amnesia"
911;908;"Disorientation and confusion"
912;908;"Neurological signs (e.g., neuroimaging demonstrating injury; a new onset of seizures; a marked worsening of a preexisting seizure disorder; visual field cuts; anosmia; hemiparesis)"
955;144;"Almost always chooses solitary activities."
956;144;"Lacks close friends or confidants other than first-degree relatives."
957;958;"Consistent irresponsibility, as indicated by repeated failure to sustain consistent work behavior or honor financial obligations."
959;958;"Impulsivity or failure to plan ahead."
960;958;"Reckless disregard for safety of self or others."
961;958;"The occurrence of antisocial behavior is not exclusively during the course of schizophrenia or bipolar disorder."
962;958;"Failure to conform to social norms with respect to lawful behaviors, as indicated by repeatedly performing acts that are grounds for arrest."
963;958;"Lack of remorse, as indicated by being indifferent to or rationalizing having hurt, mistreated, or stolen from another."
964;958;"Irritability and aggressiveness, as indicated by repeated physical fights or assaults."
965;958;"Deceitfulness, as indicated by repeated lying, use of aliases, or conning others for personal profit or pleasure."
969;968;"The symptoms precede the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced bipolar and related disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
970;981;"Tachycardia"
976;2339;"Has deliberately destroyed others property (other than by fire setting)"
977;2339;"Has broken into someone elses house, building, or car"
978;2339;"Often lies to obtain goods or favors or to avoid obligations (i.e., cons others)"
982;981;"Conjunctival injection"
983;981;"Increased appetite"
984;981;"Dry mouth"
1008;1017;"Impulsivity in at least two areas that are potentially self-damaging (e.g., spending, sex, substance abuse, reckless driving, binge eating). "
1009;1017;"Chronic feelings of emptiness."
1010;1017;"Transient, stress-related paranoid ideation or severe dissociative symptoms."
1011;1017;"Recurrent suicidal behavior, gestures, or threats, or self-mutilating behavior."
1012;1017;"A pattern of unstable and intense interpersonal relationships characterized by alternating between extremes of idealization and devaluation."
1013;1017;"Frantic efforts to avoid real or imagined abandonment. (Note: Do not include suicidal or self-mutilating behavior covered in Criterion 5.)"
1014;1017;"Inappropriate, intense anger or difficulty controlling anger (e.g., frequent displays of temper, constant anger, recurrent physical fights)."
1015;1017;"Affective instability due to a marked reactivity of mood (e.g., intense episodic dysphoria, irritability, or anxiety usually lasting a few hours and only rarely more than a few days)."
1016;1017;"Identity disturbance: markedly and persistently unstable self-image or sense of self."
1018;1026;"Considers relationships to be more intimate than they actually are."
1019;1026;"Interaction with others is often characterized by inappropriate sexually seductive or provocative behavior."
1020;1026;"Is suggestible (i.e., easily influenced by others or circumstances)."
1021;1026;"Is uncomfortable in situations in which he or she is not the center of attention."
1022;1026;"Has a style of speech that is excessively impressionistic and lacking in detail."
1023;1026;"Displays rapidly shifting and shallow expression of emotions."
1024;1026;"Shows self-dramatization, theatricality, and exaggerated expression of emotion."
1025;1026;"Consistently uses physical appearance to draw attention to self."
1027;1035;"Is excessively devoted to work and productivity to the exclusion of leisure activities and friendships (not accounted for by obvious economic necessity)."
1028;1035;"Adopts a miserly spending style toward both self and others; money is viewed as something to be hoarded for future catastrophes."
1029;1035;"Is unable to discard worn-out or worthless objects even when they have no sentimental value."
1030;1035;"Is reluctant to delegate tasks or to work with others unless they submit to exactly his or her way of doing things."
1031;1035;"Is preoccupied with details, rules, lists, order, organization, or schedules to the extent that the major point of the activity is lost."
1032;1035;"Shows perfectionism that interferes with task completion (e.g., is unable to complete a project because his or her own overly strict standards are not met)."
1033;1035;"Is overconscientious, scrupulous, and inflexible about matters of morality, ethics, or values (not accounted for by cultural or religious identification)."
1034;1035;"Shows rigidity and stubbornness."
1036;1043;"Is unusually reluctant to take personal risks or to engage in any new activities because they may prove embarrassing."
1037;1043;"Is preoccupied with being criticized or rejected in social situations."
1038;1043;"Views self as socially inept, personally unappealing, or inferior to others."
1039;1043;"Is inhibited in new interpersonal situations because of feelings of inadequacy."
1040;1043;"Is unwilling to get involved with people unless certain of being liked."
1041;1043;"Avoids occupational activities that involve significant interpersonal contact because of fears of criticism, disapproval, or rejection."
1042;1043;"Shows restraint within intimate relationships because of the fear of being shamed or ridiculed."
1045;1044;"Has difficulty making everyday decisions without an excessive amount of advice and reassurance from others."
1046;1044;"Feels uncomfortable or helpless when alone because of exaggerated fears of being unable to care for himself or herself."
1047;1044;"Has difficulty expressing disagreement with others because of fear of loss of support or approval. (Note: Do not include realistic fears of retribution.)"
1048;1044;"Has difficulty initiating projects or doing things on his or her own (because of a lack of self-confidence in judgment or abilities rather than a lack of motivation or energy)."
1049;1044;"Is unrealistically preoccupied with fears of being left to take care of himself or herself."
1050;1044;"Urgently seeks another relationship as a source of care and support when a close relationship ends."
1051;1044;"Needs others to assume responsibility for most major areas of his or her life."
1052;1044;"Goes to excessive lengths to obtain nurturance and support from others, to the point of volunteering to do things that are unpleasant."
1054;1053;"Is preoccupied with fantasies of unlimited success, power, brilliance, beauty, or ideal love."
1055;1053;"Is often envious of others or believes that others are envious of him or her."
1056;1053;"Is interpersonally exploitative (i.e., takes advantage of others to achieve his or her own ends)."
1057;1053;"Believes that he or she is special and unique and can only be understood by, or should associate with, other special or high-status people (or institutions)."
1058;1053;"Requires excessive admiration."
1059;1053;"Has a grandiose sense of self-importance (e.g., exaggerates achievements and talents, expects to be recognized as superior without commensurate achievements)."
1060;1053;"Shows arrogant, haughty behaviors or attitudes."
1061;1053;"Has a sense of entitlement (i.e., unreasonable expectations of especially favorable treatment or automatic compliance with his or her expectations)."
1062;1053;"Lacks empathy: is unwilling to recognize or identify with the feelings and needs of others."
1069;2483;"Diuresis."
1069;2483;"Diuresis."
1079;495;"Stimulant use is continued despite knowledge of having a persistent or recurrent physical or psychological problem that is likely to have been caused or exacerbated by the stimulant."
1079;2281;"Stimulant use is continued despite knowledge of having a persistent or recurrent physical or psychological problem that is likely to have been caused or exacerbated by the stimulant."
1128;2568;"Craving, or a strong desire or urge to use the substance."
1131;1223;"the presence of clinically significant distress or impairment in social, academic (occupational), or other important areas of functioning."
1132;1223;"frequency of at least twice a week for at least 3 consecutive months"
1142;1146;"The factors interfere with the treatment of the medical condition (e.g., poor adherence)."
1143;1146;"The factors have influenced the course of the medical condition as shown by a close temporal association between the psychological factors and the development or exacerbation of, or delayed recovery from, the medical condition."
1144;1146;"The factors influence the underlying pathophysiology, precipitating or exacerbating symptomsor necessitating medical attention."
1145;1146;"The factors constitute additionalwell-established health risks for the individual."
1163;1164;"A sense of lack of control over eating during the episode (e.g., a feeling that one cannot stop eating or control what or how much one is eating)."
1167;1164;"Eating, in a discrete period of time (e.g., within any 2-hour period), an amount of food that is definitely larger than what most people would eat in a similar period of time under similar circumstances."
1168;1191;"Eating alone because of feeling embarrassed by how much one is eating."
1176;1186;"Dependence on enteral feeding or oral nutritional supplements."
1178;1191;"Eating until feeling uncomfortably full."
1181;1191;"Eating large amounts of food when not feeling physically hungry."
1182;1191;"Eating much more rapidly than normal."
1185;1186;"Significant nutritional deficiency."
1187;1191;"Feeling disgusted with oneself, depressed, or very guilty afterward."
1188;1186;"Significant weight loss (or failure to achieve expected weight gain or faltering growth in children)."
1190;1186;"Marked interference with psychosocial functioning."
1240;1243;"The symptoms precede the onset of the substance/medication use; the symptoms persist for a substantial period of time (e.g., about 1 month) after the cessation of acute withdrawal or severe intoxication; or there is other evidence suggesting the existence of an independent non-substance/medication-induced sleep disorder (e.g., a history of recurrent non-substance/medication-related episodes)."
1246;592;"Prominent and severe disturbance in sleep developed during or soon after substance intoxication or after withdrawal from or exposure to a medication."
1286;1290;"Difficulty maintaining sleep, characterized by frequent awakenings or problems returning to sleep after awakenings. (In children, this may manifest as difficulty returning to sleep without caregiver intervention.)"
1287;1290;"Early-morning awakening with inability to return to sleep."
1288;1290;"Difficulty initiating sleep. (In children, this may manifest as difficulty initiating sleep without caregiver intervention.)"
1295;1293;"Recurrent periods of sleep or lapses into sleep within the same day."
1296;1293;"A prolonged main sleep episode of more than 9 hours per day that is nonrestorative (i.e., unrefreshing)."
1299;1293;"Difficulty being fully awake after abrupt awakening."
1306;1311;"Sleep terrors: Recurrent episodes of abrupt terror arousals from sleep, usually beginning with a panicky scream. There is intense fear and signs of autonomic arousal, such as mydriasis, tachycardia, rapid breathing, and sweating, during each episode. There is relative unresponsiveness to efforts of others to comfort the individual during the episodes."
1310;1311;"Sleepwalking: Repeated episodes of rising from bed during sleep and walking about. While sleepwalking, the individual has a blank, staring face; is relatively unresponsive to the efforts of others to communicate with him or her; and can be awakened only with great difficulty."
1324;1327;"The urge to move the legs is partially or totally relieved by movement."
1325;1327;"The urge to move the legs is worse in the evening or at night than during the day, or occurs only in the evening or at night."
1326;1327;"The urge to move the legs begins or worsens during periods of rest or inactivity."
1369;1372;"2) Evidence by polysomnography of 15 or more obstructive apneas and/or hypopneas per hour of sleep regardless of accompanying symptoms."
1370;1373;"Daytime sleepiness, fatigue, or unrefreshing sleep despite sufficient opportunities to sleep that is not better explained by another mental disorder (including a sleep disorder) and is not attributable to another medical condition."
1371;1373;"Nocturnal breathing disturbances: snoring, snorting/gasping, or breathing pauses during sleep."
1373;1372;"1) Evidence by polysomnography of at least five obstructive apneas or hypopneas per hour of sleep and either of the following sleep symptoms:"
1388;1391;"In children or in individuals within 6 months of onset, spontaneous grimaces or jaw-opening episodes with tongue thrusting or a global hypotonia, without any obvious emotional triggers."
1389;1394;"Nocturnal sleep polysomnography showing rapid eye movement (REM) sleep latency less than or equal to 15 minutes, or a multiple sleep latency test showing a mean sleep latency less than or equal to 8 minutes and two or more sleep-onset REM periods."
1390;1394;"Hypocretin deficiency, as measured using cerebrospinal fluid (CSF) hypocretin-1 immunoreactivity values (less than or equal to one-third of values obtained in healthy subjects tested using the same assay, or less than or equal to 110 pg/mL). Low CSF levels of hypocretin-1 must not be observed in the context of acute brain injury, inflammation, or infection."
1391;1394;"Episodes of cataplexy, defined as either (a) or (b), occurring at least a few times per month:"
1392;1391;"In individuals with long-standing disease, brief (seconds to minutes) episodes of sudden bilateral loss of muscle tone with maintained consciousness that are precipitated by laughter or joking."
1403;1405;"A history suggestive of REM sleep behavior disorder and an established synucleinopathy diagnosis (e.g., Parkinsons disease, multiple system atrophy)."
1404;1405;"REM sleep without atonia on polysomnographic recording."
1424;1427;"Marked decrease in erectile rigidity."
1425;1427;"Marked difficulty in obtaining an erection during sexual activity."
1426;1427;"Marked difficulty in maintaining an erection until the completion of sexual activity."
1433;1435;"Absent/reduced sexual excitement/pleasure during sexual activity inalmost all or all (approximately 75%100%)sexual encounters (in identified situational contexts or, if generalized, in all contexts)."
1434;1435;"Absent/reduced genital or nongenital sensations during sexual activity inalmost all or all (approximately 75%100%)sexual encounters (in identified situational contexts or, if generalized, in all contexts)."
1436;1435;"Absent/reduced sexual/erotic thoughts or fantasies."
1437;1435;"Absent/reduced sexual interest/arousal in response to any internal or external sexual/erotic cues (e.g., written, verbal, visual)."
1438;1435;"Absent/reduced interest in sexual activity."
1439;1435;"No/reduced initiation of sexual activity, and typically unreceptive to a partners attempts to initiate."
1442;1444;"Markedly reduced intensity of orgasmic sensations."
1443;1444;"Marked delay in, marked infrequency of, or absence of orgasm."
1447;1449;"Marked delay in ejaculation."
1448;1449;"Marked infrequency or absence of ejaculation."
1459;1457;"Marked fear or anxiety about vulvovaginal or pelvic pain in anticipation of, during, or as a result of vaginal penetration."
1460;1457;"Marked tensing or tightening of the pelvic floor muscles during attempted vaginal penetration."
1461;1457;"Marked vulvovaginal or pelvic pain during vaginal intercourse or penetration attempts."
1462;1457;"Vaginal penetration during intercourse."
1472;1480;"A strong preference for playmates of the other gender."
1473;1480;"A strong desire to be of the other gender or an insistence that one is the other gender (or some alternative gender different from ones assigned gender)."
1474;1480;"A strong dislike of ones sexual anatomy."
1475;1480;"A strong preference for cross-gender roles in make-believe play or fantasy play."
1476;1480;"In boys (assigned gender), a strong preference for cross-dressing or simulating female attire; or in girls (assigned gender), a strong preference for wearing only typical masculine clothing and a strong resistance to the wearing of typical feminine clothing."
1477;1480;"In boys (assigned gender), a strong rejection of typically masculine toys, games, and activities and a strong avoidance of rough-and-tumble play; or in girls (assigned gender), a strong rejection of typically feminine toys, games, and activities."
1478;1480;"A strong desire for the primary and/or secondary sex characteristics that match ones experienced gender."
1479;1480;"A strong preference for the toys, games, or activities stereotypically used or engaged in by the other gender."
1496;2297;"Withdrawal, as manifested by either of the following:"
1497;2297;"Tolerance, as defined by either of the following:"
1500;1502;"Stereotyped or repetitive motor movements, use of objects, or speech (e.g., simple motor stereotypies, lining up toys or flipping objects, echolalia, idiosyncratic phrases)."
1501;1502;"Insistence on sameness, inflexible adherence to routines, or ritualized patterns of verbal or nonverbal behavior (e.g., extreme distress at small changes, difficulties with transitions, rigid thinking patterns, greeting rituals, need to take same route or eat same food every day)."
1504;1502;"Hyper- or hyporeactivity to sensory input or unusual interest in sensory aspects of the environment (e.g., apparent indifference to pain/temperature, adverse response to specific sounds or textures, excessive smelling or touching of objects, visual fascination with lights or movement)."
1506;1508;"Deficits in social-emotional reciprocity, ranging, for example, from abnormal social approach and failure of normal back-and-forth conversation; to reduced sharing of interests, emotions, or affect; to failure to initiate or respond to social interactions."
1507;1508;"Deficits in nonverbal communicative behaviors used for social interaction, ranging, for example, from poorly integrated verbal and nonverbal communication; to abnormalities in eye contact and body language or deficits in understanding and use of gestures; to a total lack of facial expressions and nonverbal communication."
1509;1508;"Deficits in developing, maintaining, and understanding relationships, ranging, for example, from difficulties adjusting behavior to suit various social contexts; to difficulties in sharing imaginative play or in making friends; to absence of interest in peers."
1511;1502;"Highly restricted, fixated interests that are abnormal in intensity or focus (e.g., strong attachment to or preoccupation with unusual objects, excessively circumscribed or perseverative interests)."
1525;1521;"Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (e.g., schoolwork or homework; for older adolescents and adults, preparing reports, completing forms, reviewing lengthy papers)."
1525;1522;"Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (e.g., schoolwork or homework; for older adolescents and adults, preparing reports, completing forms, reviewing lengthy papers)."
1526;1521;"Is often forgetful in daily activities (e.g., doing chores, running errands; for older adolescents and adults, returning calls, paying bills, keeping appointments)."
1526;1522;"Is often forgetful in daily activities (e.g., doing chores, running errands; for older adolescents and adults, returning calls, paying bills, keeping appointments)."
1527;1521;"Often has difficulty organizing tasks and activities (e.g., difficulty managing sequential tasks; difficulty keeping materials and belongings in order; messy, disorganized work; has poor time management; fails to meet deadlines)."
1527;1522;"Often has difficulty organizing tasks and activities (e.g., difficulty managing sequential tasks; difficulty keeping materials and belongings in order; messy, disorganized work; has poor time management; fails to meet deadlines)."
1528;1521;"Often loses things necessary for tasks or activities (e.g., school materials, pencils, books, tools, wallets, keys, paperwork, eyeglasses, mobile telephones)."
1528;1522;"Often loses things necessary for tasks or activities (e.g., school materials, pencils, books, tools, wallets, keys, paperwork, eyeglasses, mobile telephones)."
1529;1521;"Often does not seem to listen when spoken to directly (e.g., mind seems elsewhere, even in the absence of any obvious distraction)."
1529;1522;"Often does not seem to listen when spoken to directly (e.g., mind seems elsewhere, even in the absence of any obvious distraction)."
1530;1521;"Often has difficulty sustaining attention in tasks or play activities (e.g., has difficulty remaining focused during lectures, conversations, or lengthy reading)."
1530;1522;"Often has difficulty sustaining attention in tasks or play activities (e.g., has difficulty remaining focused during lectures, conversations, or lengthy reading)."
1531;1521;"Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked)."
1531;1522;"Often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace (e.g., starts tasks but quickly loses focus and is easily sidetracked)."
1532;1521;"Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (e.g., overlooks or misses details, work is inaccurate)."
1532;1522;"Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (e.g., overlooks or misses details, work is inaccurate)."
1533;1521;"Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts)."
1533;1522;"Is often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts)."
1534;1523;"Is often on the go, acting as if driven by a motor (e.g., is unable to be or uncomfortable being still for extended time, as in restaurants, meetings; may be experienced by others as being restless or difficult to keep up with)."
1534;1524;"Is often on the go, acting as if driven by a motor (e.g., is unable to be or uncomfortable being still for extended time, as in restaurants, meetings; may be experienced by others as being restless or difficult to keep up with)."
1535;1523;"Often interrupts or intrudes on others (e.g., butts into conversations, games, or activities; may start using other peoples things without asking or receiving permission; for adolescents and adults, may intrude into or take over what others are doing)."
1535;1524;"Often interrupts or intrudes on others (e.g., butts into conversations, games, or activities; may start using other peoples things without asking or receiving permission; for adolescents and adults, may intrude into or take over what others are doing)."
1536;1523;"Often unable to play or engage in leisure activities quietly."
1536;1524;"Often unable to play or engage in leisure activities quietly."
1537;1523;"Often fidgets with or taps hands or feet or squirms in seat."
1537;1524;"Often fidgets with or taps hands or feet or squirms in seat."
1544;1523;"Often blurts out an answer before a question has been completed (e.g., completes peoples sentences; cannot wait for turn in conversation)."
1544;1524;"Often blurts out an answer before a question has been completed (e.g., completes peoples sentences; cannot wait for turn in conversation)."
1545;1523;"Often has difficulty waiting his or her turn (e.g., while waiting in line)."
1545;1524;"Often has difficulty waiting his or her turn (e.g., while waiting in line)."
1546;1523;"Often runs about or climbs in situations where it is inappropriate. (Note: In adolescents or adults, may be limited to feeling restless.)"
