"qualifier_ID";"dx_criteria_ID";"qualifier"
"2404";"2644";"The signs or symptoms in Criterion B cause clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"2414";"2397";"Presence of either of the following:"
"2436";"2433";"Cessation of cannabis use that has been heavy and prolonged (i.e., usually daily or almost daily use over a period of at least a few months)."
"2437";"2434";"Three (or more) of the following signs and symptoms develop within approximately 1 week after Criterion A:"
"2437";"2433";"Three (or more) of the following signs and symptoms develop within approximately 1 week after Criterion A:"
"2530";"2528";"The symptoms in Criterion A cause clinically significant distress or impairment in social, occupational, or other important areas of functioning."
"2537";"2620";"Abrupt cessation of tobacco use, or reduction in the amount of tobacco used, followed within 24 hours by four (or more) of the following signs or symptoms:"
"2538";"2620";"Daily use of tobacco for at least several weeks."
"2584";"2463";"The development of a substance-specific syndrome shortly after the cessation of (or reduction in) substance use."
"2585";"2463";"Cessation of (or reduction in) use of a substance that has been heavy and prolonged."
"2625";"2464";"Cessation of (or reduction in) sedative, hypnotic, or anxiolytic use that has been prolonged."
"2630";"2625";"Two (or more) of the following, developing within several hours to a few days after the cessation of (or reduction in) sedative, hypnotic, or anxiolytic use described in Criterion A:"
"2630";"2464";"Two (or more) of the following, developing within several hours to a few days after the cessation of (or reduction in) sedative, hypnotic, or anxiolytic use described in Criterion A:"
"2644";"2653";"Two (or more) of the following, developing within several hours to a few days after the cessation of (or reduction in) alcohol use described in Criterion A:"
"2644";"2374";"Two (or more) of the following, developing within several hours to a few days after the cessation of (or reduction in) alcohol use described in Criterion A:"
"2653";"2374";"Cessation of (or reduction in) alcohol use that has been heavy and prolonged."
"2694";"2690";"Dysphoric mood and two (or more) of the following physiological changes, developing within a few hours to several days after Criterion A:"
"2694";"2639";"Dysphoric mood and two (or more) of the following physiological changes, developing within a few hours to several days after Criterion A:"
"2698";"2639";"Cessation of (or reduction in) prolonged amphetamine-type substance, cocaine, or other stimulant use."
